30000,2,0,3
40000,2,2,2
50000,4,2,4
60000,5,4,5
70000,6,5,7
80000,8,7,9
90000,10,8,11
100000,12,11,13
110000,14,13,15
120000,17,15,18
130000,20,18,21
140000,23,21,24
150000,26,23,28
160000,29,27,31
170000,33,30,35
180000,36,59,40
190000,41,37,43
200000,45,42,47
210000,50,46,51
220000,55,50,56
230000,59,59,319
240000,65,62,68
250000,71,66,71
260000,75,69,77
270000,80,75,83
280000,85,81,92
290000,1143,87,95
300000,98,93,101
310000,105,99,107
320000,112,105,115
330000,118,113,121
340000,125,119,132
350000,6852,128,136
360000,140,134,143
370000,147,142,308
380000,156,149,160
390000,163,158,170
400000,179,178,189
